COUNTY_ID,COUNTY,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
10002,宜蘭縣,102.8,2.78,213.71,36.85,17.38,19.47,112.02,"104Y12M"
10015,花蓮縣,104.14,2.66,71.72,36.55,17.34,19.21,110.8,"104Y12M"
09020,金門縣,100.58,3.44,875.66,27.56,13.31,14.26,107.13,"104Y12M"
10008,南投縣,105.35,2.88,124.07,37.32,16.43,20.89,127.14,"104Y12M"
10013,屏東縣,105.02,2.96,303.09,35.19,15.6,19.59,125.56,"104Y12M"
10005,苗栗縣,106.42,3.06,309.79,39.57,19.64,19.94,101.52,"104Y12M"
68000,桃園市,100.02,2.81,1724.7,33.68,20.75,12.93,62.3,"104Y12M"
64000,高雄市,98.79,2.59,942.77,33.67,16.82,16.86,100.25,"104Y12M"
10017,基隆市,100.96,2.46,2802.86,32.09,14.65,17.44,119.05,"104Y12M"
09007,連江縣,133.39,4.92,435.66,28.75,16.12,12.63,78.36,"104Y12M"
10009,雲林縣,108.35,2.93,542.,40.9,17.7,23.2,131.1,"104Y12M"
65000,新北市,96.64,2.63,1934.48,31.28,17.09,14.19,83.01,"104Y12M"
10018,新竹市,97.96,2.75,4167.54,39.25,24.63,14.62,59.36,"104Y12M"
10004,新竹縣,104.83,2.96,379.7,39.61,23.65,15.96,67.47,"104Y12M"
10020,嘉義市,95.27,2.74,4504.18,37.71,20.17,17.54,86.94,"104Y12M"
10010,嘉義縣,108.64,2.86,273.08,38.9,14.89,24.01,161.19,"104Y12M"
10007,彰化縣,104.45,3.38,1199.81,37.95,19.14,18.81,98.28,"104Y12M"
66000,臺中市,97.81,2.96,1239.08,33.82,20.05,13.77,68.65,"104Y12M"
63000,臺北市,91.92,2.59,9951.48,40.28,19.57,20.7,105.76,"104Y12M"
10014,臺東縣,107.36,2.7,63.28,37.2,17.42,19.79,113.63,"104Y12M"
67000,臺南市,100.22,2.8,860.33,34.86,17.21,17.65,102.57,"104Y12M"
10016,澎湖縣,106.53,2.65,806.41,35.49,15.49,20.01,129.22,"104Y12M"
