COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
10002,宜蘭縣,10002100,三星鄉,116.78,2.54,148.53,37.31,11.97,25.34,211.62,105Y12M
10002,宜蘭縣,10002110,大同鄉,118.34,3.23,9.25,38.41,25.71,12.7,49.38,105Y12M
10002,宜蘭縣,10002090,五結鄉,107.37,2.69,1020.32,32.09,12.51,19.59,156.59,105Y12M
10002,宜蘭縣,10002080,冬山鄉,105.64,2.79,667.78,35.46,15.94,19.51,122.38,105Y12M
10002,宜蘭縣,10002060,壯圍鄉,112.5,2.78,629.88,33.14,12.44,20.71,166.48,105Y12M
10002,宜蘭縣,10002010,宜蘭市,95.45,2.67,3261.26,38.4,19.56,18.84,96.29,105Y12M
10002,宜蘭縣,10002120,南澳鄉,110.19,3.08,8.02,40.84,28.8,12.05,41.85,105Y12M
10002,宜蘭縣,10002070,員山鄉,112.76,2.78,289.3,34.03,13.38,20.66,154.44,105Y12M
10002,宜蘭縣,10002040,頭城鎮,106.4,2.91,294.03,37.69,15.32,22.37,146.02,105Y12M
10002,宜蘭縣,10002050,礁溪鄉,108.78,2.59,354.42,36.51,14.6,21.91,150.07,105Y12M
10002,宜蘭縣,10002020,羅東鎮,90.22,2.76,6389.27,43.32,23.86,19.46,81.58,105Y12M
10002,宜蘭縣,10002030,蘇澳鎮,103.72,2.86,454.88,38.75,14.83,23.92,161.3,105Y12M
10015,花蓮縣,10015030,玉里鎮,113.94,2.78,98.03,44.13,16.13,28,173.56,105Y12M
10015,花蓮縣,10015070,光復鄉,113.67,2.59,82.95,42.96,13.03,29.93,229.63,105Y12M
10015,花蓮縣,10015050,吉安鄉,102.03,2.63,1281.92,30.48,13.96,16.52,118.31,105Y12M
10015,花蓮縣,10015110,秀林鄉,106.38,3.31,9.62,33.41,23.02,10.39,45.12,105Y12M
10015,花蓮縣,10015130,卓溪鄉,120.37,3.58,5.91,32.6,20.65,11.95,57.87,105Y12M
10015,花蓮縣,10015010,花蓮市,93.59,2.53,3571.43,39.93,21.14,18.79,88.85,105Y12M
10015,花蓮縣,10015100,富里鄉,119.02,2.63,59.86,47.3,14.93,32.37,216.82,105Y12M
10015,花蓮縣,10015040,新城鄉,106.23,2.64,689.37,34.04,16.79,17.25,102.72,105Y12M
10015,花蓮縣,10015090,瑞穗鄉,117.16,2.49,86.71,42.61,13.51,29.1,215.35,105Y12M
10015,花蓮縣,10015120,萬榮鄉,111.77,3.08,10.41,30.26,19.72,10.54,53.44,105Y12M
