COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
10002,宜蘭縣,10002100,三星鄉,116.79,2.5,243.58,37.43,11.63,25.81,221.97,106Y12M
10002,宜蘭縣,10002110,大同鄉,117.15,3.21,7.97,38.24,25.53,12.71,49.78,106Y12M
10002,宜蘭縣,10002090,五結鄉,106.98,2.65,992.5,32.5,12.18,20.31,166.72,106Y12M
10002,宜蘭縣,10002080,冬山鄉,105.1,2.76,707.36,36.02,15.65,20.37,130.15,106Y12M
10002,宜蘭縣,10002060,壯圍鄉,112.09,2.74,607.76,33.08,12,21.08,175.75,106Y12M
10002,宜蘭縣,10002010,宜蘭市,95.26,2.64,3181.46,39.03,19.4,19.63,101.16,106Y12M
10002,宜蘭縣,10002120,南澳鄉,109.52,3.02,8.24,40.01,27.72,12.29,44.35,106Y12M
10002,宜蘭縣,10002070,員山鄉,112.87,2.76,229.2,34.4,13.23,21.17,160.08,106Y12M
10002,宜蘭縣,10002040,頭城鎮,106.49,2.86,305.45,37.88,15.02,22.86,152.22,106Y12M
10002,宜蘭縣,10002050,礁溪鄉,108.31,2.54,355.76,36.98,14.26,22.72,159.34,106Y12M
10002,宜蘭縣,10002020,羅東鎮,90.05,2.74,6415.49,44.48,23.8,20.68,86.91,106Y12M
10002,宜蘭縣,10002030,蘇澳鎮,103.51,2.82,462.74,39.65,14.57,25.08,172.19,106Y12M
10015,花蓮縣,10015030,玉里鎮,112.47,2.73,115.44,44.09,15.34,28.75,187.38,106Y12M
10015,花蓮縣,10015070,光復鄉,113.98,2.57,97.91,44.02,12.91,31.11,241.04,106Y12M
10015,花蓮縣,10015050,吉安鄉,101.19,2.61,1336.65,31.32,13.59,17.73,130.46,106Y12M
10015,花蓮縣,10015110,秀林鄉,106.35,3.31,9.78,33.12,22.36,10.76,48.11,106Y12M
10015,花蓮縣,10015130,卓溪鄉,123.18,3.58,6,33.94,21.64,12.3,56.84,106Y12M
10015,花蓮縣,10015010,花蓮市,93.25,2.51,3561.04,40.91,21.07,19.84,94.16,106Y12M
10015,花蓮縣,10015100,富里鄉,119.27,2.59,60.54,47.53,14.31,33.22,232.18,106Y12M
10015,花蓮縣,10015040,新城鄉,105.99,2.61,700.21,34.49,16.35,18.14,110.92,106Y12M
10015,花蓮縣,10015090,瑞穗鄉,117.57,2.45,76.87,42.96,13.11,29.85,227.6,106Y12M
10015,花蓮縣,10015120,萬榮鄉,111.95,3.04,9.29,30.55,19.61,10.94,55.79,106Y12M
10015,花蓮縣,10015060,壽豐鄉,113.98,2.5,87.42,39.32,12.92,26.4,204.36,106Y12M
10015,花蓮縣,10015020,鳳林鎮,108.11,2.47,85.22,48.88,12.93,35.96,278.15,106Y12M
10015,花蓮縣,10015080,豐濱鄉,124.42,2.56,27.87,38.53,9.77,28.76,294.5,106Y12M
9020,金門縣,9020020,金沙鎮,97.97,3.26,379.2,29.88,11.56,18.32,158.57,106Y12M
9020,金門縣,9020010,金城鎮,99.71,3.36,1922.21,29.96,14.07,15.9,113,106Y12M
9020,金門縣,9020030,金湖鎮,101,3.3,697.8,29.21,13.93,15.29,109.78,106Y12M
9020,金門縣,9020040,金寧鄉,101.99,3.6,724.5,24.55,11.14,13.42,120.49,106Y12M
9020,金門縣,9020050,烈嶼鄉,96.96,4.05,598.47,27.77,9.93,17.84,179.64,106Y12M
9020,金門縣,9020060,烏坵鄉,102.06,5.11,285.81,30.23,17.87,12.36,69.15,106Y12M
10008,南投縣,10008080,中寮鄉,118.84,2.64,102.87,42.79,11.53,31.27,271.29,106Y12M
10008,南投縣,10008130,仁愛鄉,107.24,3.21,12.91,38.77,24.35,14.43,59.25,106Y12M
10008,南投縣,10008110,水里鄉,110.54,2.49,159.03,41.41,12.9,28.51,221,106Y12M
