ID,NAME,DESCRIPTION
ukbench00000,Denim Shorts High waist,"Short 5-pocket shorts in washed denim with distressed details, a high waist, and raw-edge hems."
ukbench00001,Denim Shorts High waist,"Short 5-pocket shorts in washed denim with distressed details, a high waist, and raw-edge hems."
ukbench00002,Short-sleeved Top,Short-sleeved top in soft jersey.
ukbench00003,Short-sleeved Top,Short-sleeved top in soft jersey.
ukbench00004,Short-sleeved Top,Short-sleeved top in soft jersey.
ukbench00005,Short Tank Top,Short tank top in slub jersey.
ukbench00006,Short Tank Top,Short tank top in slub jersey.
ukbench00007,Fine-knit Cardigan,Fine-knit cardigan in cotton with buttons at front.
ukbench00008,Sweatshorts,Short shorts in sweatshirt fabric with an elasticized drawstring waistband and side pockets.
ukbench00009,Sweatshorts,Short shorts in sweatshirt fabric with an elasticized drawstring waistband and side pockets.
ukbench00010,Denim Shorts,5-pocket shorts in washed stretch denim with heavily distressed details. Sewn cuffs at hems.
ukbench00011,Woven Pants,"Pants in woven fabric. Pleats at top, elastication at back of waist, and side pockets. Loose fit."
ukbench00012,Woven Pants,"Pants in woven fabric. Pleats at top, elastication at back of waist, and side pockets. Loose fit."
ukbench00013,Woven Pants,"Pants in woven fabric. Pleats at top, elastication at back of waist, and side pockets. Loose fit."
ukbench00014,Short Twill Shorts,"Short shorts in stretch twill with side pockets, back pockets, and raw-edge hems."
ukbench00015,Short Twill Shorts,"Short shorts in stretch twill with side pockets, back pockets, and raw-edge hems."
ukbench00016,Short Twill Shorts,"Short shorts in stretch twill with side pockets, back pockets, and raw-edge hems."
ukbench00017,Short Twill Shorts,"Short shorts in stretch twill with side pockets, back pockets, and raw-edge hems."
ukbench00018,Short Twill Shorts,"Short shorts in stretch twill with side pockets, back pockets, and raw-edge hems."
ukbench00019,Jersey Dress,Long dress in soft jersey with narrow shoulder straps in metal. Low-cut neckline and high slit at back. Lined at top.
ukbench00020,Jersey Dress,"Short, sleeveless dress in jersey with a V-neck at front and back."
